date,name,category,value
1905-04-28,PCF,extrême-gauche,159
1905-04-28,SFIO,gauche,146
1905-04-28,Radicaux,gauche,29
1905-04-28,UDSR,gauche,42
1905-04-28,MRP,centre,150
1905-04-28,RI,droite,14
1905-04-28,UR,droite,39
1905-04-28,Non-inscrits,Non-inscrits,7
1905-04-29,PCF,extrême-gauche,153
1905-04-29,SFIO,gauche,128
1905-04-29,Radicaux,gauche,32
1905-04-29,UDSR,gauche,20
1905-04-29,MRP,centre,166
1905-04-29,RI,droite,32
1905-04-29,PRL,droite,35
1905-04-29,UDMA,Nationalistes algériens,11
1905-04-29,Non-inscrits,Non-inscrits,9
1905-04-30,PCF,extrême-gauche,182
1905-04-30,SFIO,gauche,102
1905-04-30,Radicaux,gauche,43
1905-04-30,UDSR,gauche,26
1905-04-30,MRP,centre,173
1905-04-30,RI,droite,29
1905-04-30,PRL,droite,38
1905-04-30,MTLD,Nationalisme algérien,5
1905-04-30,Non-inscrits,Non-inscrits,29
1905-05-01,PCF,extrême-gauche,182
1905-05-01,SFIO,gauche,102
1905-05-01,Radicaux,gauche,43
1905-05-01,UDSR,gauche,26
1905-05-01,MRP,centre,173
1905-05-01,RI,droite,29
1905-05-01,PRL,droite,38
1905-05-01,MTLD,Nationalisme algérien,5
1905-05-01,Non-inscrits,Non-inscrits,29
1905-05-02,PCF,extrême-gauche,182
1905-05-02,SFIO,gauche,102
1905-05-02,Radicaux,gauche,43
1905-05-02,UDSR,gauche,26
1905-05-02,MRP,centre,173
1905-05-02,RI,droite,29
1905-05-02,PRL,droite,38
1905-05-02,MTLD,Nationalisme algérien,5
1905-05-02,Non-inscrits,Non-inscrits,29
1905-05-03,PCF,extrême-gauche,182
1905-05-03,SFIO,gauche,102
1905-05-03,Radicaux,gauche,43
1905-05-03,UDSR,gauche,26
1905-05-03,MRP,centre,173
1905-05-03,RI,droite,29
1905-05-03,PRL,droite,38
1905-05-03,MTLD,Nationalisme algérien,5
1905-05-03,Non-inscrits,Non-inscrits,29
1905-05-04,PCF,extrême-gauche,182
1905-05-04,SFIO,gauche,102
1905-05-04,Radicaux,gauche,43
1905-05-04,UDSR,gauche,26
1905-05-04,MRP,centre,173
1905-05-04,RI,droite,29
1905-05-04,PRL,droite,38
1905-05-04,MTLD,Nationalisme algérien,5
1905-05-04,Non-inscrits,Non-inscrits,29
1905-05-05,PCF,extrême-gauche,99
1905-05-05,UP,gauche,4
1905-05-05,SFIO,gauche,107
1905-05-05,Radicaux,gauche,74
1905-05-05,UDSR,gauche,16
1905-05-05,RDA,gauche,3
1905-05-05,MRP,centre,95
1905-05-05,RPF,Droite,121
1905-05-05,CRAPS,extrême-droite,43
1905-05-05,RI,Droite,53
1905-05-05,Non-inscrits,Non-inscrits,10
1905-05-06,PCF,extrême-gauche,99
1905-05-06,UP,gauche,4
1905-05-06,SFIO,gauche,107
1905-05-06,Radicaux,gauche,74
1905-05-06,UDSR,gauche,16
1905-05-06,RDA,gauche,3
1905-05-06,MRP,centre,95
1905-05-06,RPF,Droite,121
1905-05-06,CRAPS,extrême-droite,43
1905-05-06,RI,Droite,53
1905-05-06,Non-inscrits,Non-inscrits,10
1905-05-07,PCF,extrême-gauche,99
1905-05-07,UP,gauche,4
1905-05-07,SFIO,gauche,107
1905-05-07,Radicaux,gauche,74
1905-05-07,UDSR,gauche,16
1905-05-07,RDA,gauche,3
1905-05-07,MRP,centre,95
1905-05-07,RPF,Droite,121
1905-05-07,CRAPS,extrême-droite,43
1905-05-07,RI,Droite,53
1905-05-07,Non-inscrits,Non-inscrits,10
1905-05-08,PCF,extrême-gauche,99
1905-05-08,UP,gauche,4
1905-05-08,SFIO,gauche,107
1905-05-08,Radicaux,gauche,74
1905-05-08,UDSR,gauche,16
1905-05-08,RDA,gauche,3
1905-05-08,MRP,centre,95
1905-05-08,RPF,Droite,121
1905-05-08,CRAPS,extrême-droite,43
1905-05-08,RI,Droite,53
1905-05-08,Non-inscrits,Non-inscrits,10
1905-05-09,PCF,extrême-gauche,99
1905-05-09,UP,gauche,4
1905-05-09,SFIO,gauche,107
1905-05-09,Radicaux,gauche,74
1905-05-09,UDSR,gauche,16
1905-05-09,RDA,gauche,3
1905-05-09,MRP,centre,95
1905-05-09,RPF,Droite,121
1905-05-09,CRAPS,extrême-droite,43
1905-05-09,RI,Droite,53
1905-05-09,Non-inscrits,Non-inscrits,10
1905-05-10,PCF,extrême-gauche,150
1905-05-10,SFIO,gauche,94
1905-05-10,Radicaux,gauche,58
1905-05-10,UDSR et RDA,gauche,19
1905-05-10,MRP,centre,83
1905-05-10,URAS,droite,21
1905-05-10,RGR,centre,14
1905-05-10,IPAS,extrême-droite,95
1905-05-10,UFF,extrême-droite,52
1905-05-10,Non-inscrits,Non-inscrits,7
1905-05-11,PCF,extrême-gauche,150
1905-05-11,SFIO,gauche,94
1905-05-11,Radicaux,gauche,58
1905-05-11,UDSR et RDA,gauche,19
1905-05-11,MRP,centre,83
1905-05-11,URAS,droite,21
1905-05-11,RGR,centre,14
1905-05-11,IPAS,extrême-droite,95
1905-05-11,UFF,extrême-droite,52
1905-05-11,Non-inscrits,Non-inscrits,7
